youtubeId,title,channel,bpm,key
4xNBrDcQek0,Corviria - Long Way to the Sun,Ricardo Maraña,,
Eyt-MnaRIXI,Miki Petkovski - Iluminacija,rrbeats2004,,
tyD96tN_ZiY,Janko Nilovic - Folk Way Guitars,chuckbirth,,
4jWxrQj1D6E,Janko Nilovic - Blue Stone,chuckbirth,,
OixLvXeme6U,Troll - Pipedream,Ricardo Maraña,,
NAOwMBalHQ8,"Alain Goraguer ""Le Bracelet""",Because Music,,
-5f8xm1XZzs,Alan Feanch - Soum's Garden 1 & 2,a8detective,,
GIVPm6My0ac,Alessandro Alessandroni - Love On The Sand,Ricardo Maraña,,
uEboQYhPgi8,Shinichi Tanabe - Hell's Gate Island (Theme of﻿ prison island) 獄門島のテーマ,rrbeats2004,,
L8QAIjIHtJc,"Stavros Xarhakos - Break Up, Instrumental",Ricardo Maraña,,
kGcL5tQGjRE,Henryk Debich - Opadajacy widnokrag,Ricardo Maraña,,
1D8fuo10j9k,Gainsbourg (Vie Héroïque) Soundtrack [CD-1] - Initials B.B. (Bulgarian Symphony Orchestra),kiselle1993,,
g6-Wf79K_zE,"Roberto Musci - Claudia, Wilhelm R And Me",Music From Memory,,
f6zWSNj8ObI,Roberto Musci & Giovanni Venosta - Nexus On The Beach,Music From Memory,,
TRBFBWnRxa0,Raskovich - Meditazioni,Ricardo Maraña,,
jcQA8W_JKR4,山下勉 / 変奏曲 愛の園,Vinyle Archéologie,,
EB1UUNwh4BE,Earth Base One / Our Minds Are the Universe,Vinyle Archéologie,,
XJKVGU7McQ8,Derek Austin / Dissolve in Sepia,Vinyle Archéologie,,
A-XL6p7_3kA,MIDNIGHT WIND / Shoplifting My Love,Vinyle Archéologie,,
1txvNPgJkVg,Johnny Hammond / Ann,Vinyle Archéologie,,
bpyuYciCzB0,Marcus Allen / O Mistress Mine,Vinyle Archéologie,,
AdrWAXigTY4,"Johnny Hammond - Imagination I [US] Jazz, Funk, Fusion (1977)",Music for empty rooms,,
S8U3k2iHbm0,"Linda Tillery - Heaven Is In Your Mind [US] Soul, Jazz, Funk (1977)",Music for empty rooms,,
VQk9bvvyVNs,Kornelije - Daljine [Serbia/Yugoslavia] Psych (1977),Music for empty rooms,,
RVVMrWc8guk,Earl Coleman - The Things We Did Last Summer,jazzvinyl,,
zd-hZQnvVY8,Ester Mazzi - Laura / Lover / Body & Soul [Brazil] Private Lo-Fi Psych Bossa (1989),Music for empty rooms,,
bALSGoGhJDY,"Transit Express - Le Souffleur De Rêves [France] Jazz, Ambient, Psychedelic Fusion (1976)",Music for empty rooms,,
DHO3b7TgIQs,"Jean Philippe Goude - Grasse Matinée [France] Jazz, Ambient (1978)",Music for empty rooms,,
vGhUgmb7tHk,The Piano Choir - Barbara Ann I / Ballad For The Beast From Bali-Bali I [US] Spiritual Jazz (1975),Music for empty rooms,,
hL0PFj2pZqk,George Benson - Space (Full Album - Vinyl),Teo D'o,,
Gipt39Q3p-8,Sweet Pea Atkinson  - Should I Wait,Wendel Ajoe Melodias,,
_QcAAx-VlhY,Ken Rhodes - Robyn's Lullaby (Solo Piano) (Jazz) (1974),foreal,,
4AIZko27DYs,Chris Latul - New Morning,Andrew Osetrov,,
hGb1gIGWgNQ,Орлин Горанов (Orlin Aleksandrov Goranov) - Светът е за двама (The World Is For Two),Art ReYou,,
iJFKpTotQsA,"Wilbur Bascomb - Out Of Body Experience I [US] Soul, Psych Fusion (1977)",Music for empty rooms,,
uuotTvkNMgc,VLADA LABAT - KONTRAPUNKT,Vladimir Labat,,
LWEL5FUcG_c,"Becker, Stegmann, Zeumer & Lasker-Schüler - Abends [Germany] Jazz, Ambient (1987)",Music for empty rooms,,
j4MocLI4veA,Mike Makhalemele - Spring Is Here,Rare Samples & Songs Oleg Tsoy,,
Cny_9GfQcpo,"Alphonso Johnson - Involuntary Bliss [US] Jazz, Soul, Fusion (1976)",Music for empty rooms,,
6Aq0hmJW8rE,[REISSUE] Agustin Pereyra Lucena - Mujer Latina (Altercat Records),La Chinerie Reissue,,
VYKWNeNZfKg,"笠井紀美子 Kimiko Kasai - Autumn Leaves [Japan] Jazz, Soul (1975)",Music for empty rooms,,
V2CS2FMy0CQ,Not All Dreams Are Real,Sonny Fortune - Topic,,
yrCdN-G13o4,"Alan Feanch & Ted Atking - Dolce Time [France] Library, Ambient (1979)",Music for empty rooms,,
onHeDR6Tw8k,Just As Long As We're in Love - Terry Callier,Risjah,,
srYIE6o95R0,In The Morning,Táta Vega - Topic,,
PlfA5hKTVs4,Robert Goulet - Time after time,Dario's Oldies,,
Ec9QYveMnjo,"NazJazz - Heroes I [US] Jazz, Folk, Fusion (1980)",Music for empty rooms,,
FA2418WSDVI,Mark Colby - Daydreamer,Rare Samples & Songs Oleg Tsoy,,
a-Fn7S2qrBE,Pam Purvis with Bob Ackerman - Lullaby Of The Leaves,jazzvinyl,,
1IADsOf1JPg,Ruby Braff - Ed Bickert Trio - This Year's Kisses,jazzvinyl,,
2U-rT2_K2DU,Johnny Lytle - Inner Peace (The Soulful Rebel Suite) [US] Jazz (1972),Music for empty rooms,,
kBqX552itmM,"Piazza Delle Erbe - Presagi [Italy] Psych, Prog (1977)",Music for empty rooms,,
dSKxE3p-j3M,"大野 雄二 Yuji Ohno - 1955.9.30 [Japan] Library, Easy Listening (1977)",Music for empty rooms,,
K99_nSObjy4,"Gianni Marchetti - Dolce Settembre [Italy] Library, Easy Listening (1977)",Music for empty rooms,,
Ny2W8ZE_lFc,"Kenneth Jenkins - The Dreamer [US] Jazz, Fusion (1979)",Music for empty rooms,,
VVZso11FVPI,"Robert Wotherspoon - Music To Massage Your Mate By [US] Jazz, Easy Listening (1976)",Music for empty rooms,,
p7oWr7sltws,"Harry Sheppard - Your Highness [US] Jazz, Fusion (197?)",Music for empty rooms,,
66yrjmG2WWk,"The Ramsey Lewis Trio - Got To Be There [US] Jazz, Easy Listening (1972)",Music for empty rooms,,
MuAQzQEij10,"Magician - Drowned Village [UK] Jazz, Fusion (1979)",Music for empty rooms,,
MtK7qM0OOzY,"Cosmos - 恋風 [Japan] City Pop, Fusion, Easy Listening (1984)",Music for empty rooms,,
_ocgQkb8r9A,Della Reese - More Than You Know,jazzvinyl,,
GJxOhfxE9bg,"Fabio Fabor - Paradiso [Italy] Library, Balearic Ambient, Easy Listening (1980)",Music for empty rooms,,
prjT1TX1Rfg,Patience - This Is All I Can Say,Wendel Ajoe Melodias,,
RLDdkiH4MTg,Melba Moore - Livin' For Your Love,Wendel Ajoe Melodias,,
iMWuick6rH4,Edmund Sylvers - Holdin' Back,Diggers Paradise,,
IlundsKFH78,Derek Smith Quartet - Yesterdays,jazzvinyl,,
QDkAqlIiGLE,Centerfold - For Your Love,Wendel Ajoe Melodias,,
aMfyk59cAhg,Phyrework - Dance With Me,Wendel Ajoe Melodias,,
Rp-7erkyo3k,🚩 L. Ceccarelli - Love Promises 🇮🇹  1987,Fallen-Leaf Seekers : Искатели Опавших Листьев,,
pCobltaOVME,Freddy Cole - For Once In My Life,jazzvinyl,,
VSga7P8d6qQ,Front Row & Vince Ebo - My Love My Song,Wendel Ajoe Melodias,,
Anf_FCMRWwU,David Joseph - Dreaming,Wendel Ajoe Melodias,,
Ks9BDQ5b5AQ,d{~_~}b [Soulyargentina.tk],Souly Argentina (Souly.tk),,
NAD-NOwdJ-s,Gladys McFadden and the Loving Sisters - Never Gonna Turn Around,Ray Markham,,
2brmjihIzZw,New Jersey Mass Choir The Harvest Is Ripe,Yousoulme Cbwasa,,
eCvXYHo1c_s,Pictures - I'm Gonna See You Through,Wendel Ajoe Melodias,,
Jv_vmHRsrek,"Duck - Laid (1972) (AUSTRALIA, Hard, Blues, Brass Rock)",Heno Henrich,,
Wezw_F8dYOU,Fast Anny - Reminder (Soul) (Ohio Private Press) (1978),foreal,,
KMAS2PDCWpw,Chameleon - I Feel You Here,Wendel Ajoe Melodias,,
HNFN2_YBBzo,Vinyl Frontier Presents BRUH Samples Vol. 6: Track #1,Reef Ali,,
FD_b1drqcW4,אריק איינשטיין ושלום חנוך שבלול Arik Einstein,אריק איינשטיין I פונוקול,,
DZf0kYw1XpA,אריק איינשטיין ושלום חנוך טוב לי Arik Einstein,אריק איינשטיין I פונוקול,,
ODqN0CKVdxk,Stephanie Mills - I Knew It Was Love,Wendel Ajoe Melodias,,
-pnBR0Ec7yc,catching a vibe with my 1973 Fender Rhodes Mark I,"Julian ""J3PO"" Pollack",,
YXN-Z8pc77M,"Fr. Luis II - Viento, espiga y semilla (Instrumental)",Trix Vinyls,,
vyZjfUDSmn8,Elsa Maxwell - All Mine (Instrumental),Trix Vinyls,,
R7bETEAlRIE,Fabio Fabor - Sea Melody,Elements Breaks,,
wdgTHmH-0V0,"Arthur Loesser - Sonata No.2 F Minor, Op.14 - Quasi Variations (Andantino By Clara Wieck)",Trix Vinyls,,
Rveypoh8k_k,"Arthur Loesser - Adagio, K.540 [Mozart]",Trix Vinyls,,
j71bRWhhdbY,Pollution - River,Trix Vinyls,,
gr0XWmEbiMQ,Gabor Szabo - Dreams (1968) [full album],Cubensis Records,,
iTfnoU4Qp4I,Cyrille Verdeaux ‎– Moebius (1981),Terminal Passage,,
sJrXSael1j8,Follies Bazaar ‎– Dressed To Thrill (full album),Isigude ,,
639WBkFT6Eo,"Brast Burn - Debon 1975 FULL VINYL ALBUM (progressive, heavy psych)",emBLICko,,
DX1N0j65H-0,Cal Tjader - Latin Kick (1958)  Full vinyl LP,Dr. Hofmann's Electric Kool-Aid Party!,,
jvoSSkp2Njc,Dave Pike - Jazz for the Jet Set (1966)  Full vinyl LP,Dr. Hofmann's Electric Kool-Aid Party!,,
qXp9ztAZYg8,Ströer Duo ‎– Fluchtweg Madagaskar (1982) FULL ALBUM,N-dimensional harmonic oscillator,,
pohgg2RTtjE,Raul Lovisoni & Francesco Messina - Prati Bagnati Del Monte Analogo (1979) [Full Album],Sound Station Strategy,,
GFFZeT7ZMCM,Smoke - Everything (1973),Cubensis Records,,
gcU7ZlnJFPE,"Sounds for the Supermarket (1975) -Grocery Store Music (Full Album, High Quality)",Just Muzak,,
P44qPSOyypY,クロージング・テーマ　岩崎宏美「聖母たちのララバイ」(Instrumental)　火曜サスペンス劇場オリジナル・サウンドトラック 82より【作業用ＢＧＭ】,Trix Vinyls,,
rBBwcFc8Qks,Eddie Warner ‎– Progressive Percussions COMPLETE ALBUM,Jonathan Richardson,,
WKWFr9upIuU,Arthur Verocai - Arthur Verocai (1972),henriquebeira,,
lwKM68JQAgw,Keith Noble [UK] - b_4. Ashes and Silver.,lyrkoss,,
0taaTctK1gQ,#128 - Giuliano Sorgini ‎– Lavoro E Tempo Libero (1980),Ultra Harmonics,,
biXKMpt3PJE,John Villemonte - People Like You (1976),Pedro Nóbrega,,
kmFAcLkTzgg,Joe Pass - I Remember Charlie Parker (Full Album),DrJones,,
8K1kPsDgeQ8,Broselmaschine   Broselmaschine 1971 Full Album Listen,ProgRock Box,,
n9zm_xeFGtU,"Aquila (Chile, 1974) - Full Album",Nicolás Guzmán,,
T4KbTnJZe4k,David Naegele - Temple In The Forest (Full Album Cassette 1982),Harmonies World Music,,
vnAbEGUpBeQ,Marc Anderson - Timefish (full album),Joe Maynard,112,Fm
ru04UM3vAYY,Rhythm and Bliss [USA] - a_5. Song of Earth and Sky.,lyrkoss,,
ieoiO46LCtI,Between - Dharana (1974) Full Album,Kosmik Jukebox,,
eZAJWJcXYxw,"Mammane Sanni Abdoulaye ‎– Unreleased Tapes 1981-1984 (Full Album) [Niger; Lo-Fi, Electronic]",GROOVE BLENDER,,
xZtb_61G5Vs,Urubamba - Urubamba - 1974 Full Album - Full HD 1080p,El_Llosita,,
6timT7lUL7g,"Hindemith 76 (Chile, 1976) - In Musica (Full Album)",Nicolás Guzmán,,
RcX5tnFX5rE,Admas - Sons Of Ethiopia *FULL ALBUM*,CREAM OVER MISERY,,
6imldo7M_mI,Smith & Erickson - Blue Skies (full album),When Dubs Cry,,
ofQ0XBElC2k,"Carlos Maria Trindade / Nuno Canavarro - Mr. Wollogallu (1991, Full Album)",quiet friend,,
CgRcwL2NffM,"Markus Stockhausen & Jasper Van't Hof - Aqua Sansa (1980) FULL ALBUM { Jazz Fusion, Ambient }",COOL-MUSIC RONYA,,
yhfqoNsDjVI,Hareton Salvanini ‎– A Virgem De Saint Tropez (1974),Terminal Passage,,
D4sjq295Zo0,"Vytas Brenner (Venezuela, 1975) - Jayeche (Full Album)",Nicolás Guzmán,,
rwxuMPJWLiE,Philippe Guerre - Cristal (1979),Audionautas,,
y96ErCThpt8,Christophe  - The Girl From Salina (instrumental),TheVinylNoise,,
YSueY2AqV7c,Pino Calvi - La fuga,a8detective,,
xQZ6aqVESQs,Ugo Calise - Cose antiche,a8detective,,
8vOhx0NTkh0,Francesco Tamponi - In anno domini,a8detective,,
4kpOL4BNHBU,Ugo Calise - Ricordi di...,a8detective,,
aYfgdwu4ezw,Luis Bacalov - In Lounge EP (B),a8detective,,
RRCEIJ6oiBg,Sound Of Eden - Canto d'amore,a8detective,,
_hhduruSDyE,#64 - Enrico Pieranunzi - Jazz A Confronto (1975) FULL ALBUM,Ultra Harmonics,,
ZGObVOzQ4-s,PARIDE E GLI STEREO 4 - NAUFRAGO IN CITTA' (1972),Il Quartetto,,
6UoTEISjCFk,Mario Molino - Inside ost Italian Krautrock 1975 Psych Prog,videocorridor,,
9ZjRMvI0Fys,Marcos Valle - LP 1974 - Album Completo/Full Album,Brazilian Rare Grooves,,
tliojZDIFVg,Goblin - Non ho sonno (best movie soundtrack),cinevoxrecord,,
0_BkRYr-kqA,Giorgio Gaslini - Best of Giorgio Gaslini,cinevoxrecord,,
isR1gqpp96c,"Crippa  Spazio, abissi, mistero italian Library experimental space moog  music",videocorridor,,
IKKoCpgfObw,Nick Sargent - new life,Sonne Immage,,
jHDUgYGFN2g,Hareton Salvanini - LP S.P. 73 - Album Completo/Full Album,Brazilian Rare Grooves,,
jzxAoeYpVug,#44 - Bruton - Undergroove (1980),Ultra Harmonics,,
xQ64SZ6SedY,Philippe Brejean - far from Dakota (A),Sonne Immage,,
N7BTQh_e4IY,#18 - Arakawa Band- The Beast Must Die (1979) FULL ALBUM,Ultra Harmonics,,
zpP_g8vgkvE,Softly softly italian library Carlo  Savina &  Fabio Fabor,videocorridor,,
623whlgVHIY,Free Sound Orchestra - Rush (1974),Deejay Alex Paz,,
_iZpa6h9AYM,Waldir Calmon e Seus Multisons,Antes Prove,,
XdcQeCw4YqQ,G.P. e G. F. Reverberi Videomusic music library 1981,videocorridor,,
sZmSZGJggE4,Link Wray-Self Titled S/T (Full Album),josh manson,,
nCRiALrDhj0,European Rock Collection Part7 / Picchio dal Pozzo(Full Album),Halu Aoyama,,
xQ0UTETcnhw,Paolo Ferrara - Profondita (1977) Full Album,olias67,,
r9XLtmr5yqE,Vinicius de Moraes e Baden Powell (1966) (Full Album - Álbum Completo),jukou sakamoto,,
SksoDaS7B-Y,Roberto Cacciapaglia Acufene Cactus tv sigla 1981,videocorridor,,
Hrr3dp7zRQY,Ryo Fukui - Scenery 1976 (FULL ALBUM),Woody Allen,,
VMGSGzl5Gfs,The Mike Mainieri Quartet ‎– Insight (1968),Terminal Passage,,
aIO0Ge_IwkU,Daniel Faure/Bernard Gérard - Pantomimes a l'Italienne (a),a8detective,,
yO6R97bEj4Q,Roger Bourdin - Lento,a8detective,,
73aUKDy1GhY,Fernando Vildosola - Loca Percucion,a8detective,,
L89dFBEtLOI,Elio Maestosi/Stefano Liberati - La bambola di vetro,a8detective,,
TeucvtmOThw,Carlo Siliotto - Silly Hats And Soldiers,a8detective,,
ks7Atnl8WmU,Guy Boyer - Aventure et tambourin,a8detective,,
pG-P9hYfH1M,Gérard Cohen - Marche dans la savane,a8detective,,
DB3D7sydLSk,The London Studio Group - Drumatics,a8detective,,
h6S6hCPfjdw,"Umberto Santucci - Museo orientale (+ Vers. apra, Leslie & flauto)",a8detective,,
AqS1H-quhDE,Janko Nilovic - Blue Stone.,a8detective,,
W4A8iIBIQQc,Serge Franklin - Maro Maro,a8detective,,
q_DTHOWCIjc,Daniele Lombardi - Reticolo A,a8detective,,
RlbiUE_nDiw,Egisto Macchi - Un mattino vorrei,a8detective,,
9AYciTX68Rg,Serge Franklin - Quai Du Point Du Jour,a8detective,,
HnoPYMto84E,Bruno Battisti D'Amario - Spuma Di Mare,The Armagideon Times,,
k0yM-G7-zxQ,Akira Ishikawa Count Buffalo Jazz and Rock Band -- Sunrise,ummmmyep,,
wp2tNq7xTp8,Nick Sargent - glider,Sonne Immage,,
Yg26YCmwg_s,Richard Myhill - new science (take C),Sonne Immage,,
hObRbRoVdp8,Philippe Lhommet & Jacques Mercier - Margot,Sonne Immage,,
Anz1nM4PSCE,Maurizio Passaggio - esther moon,Sonne Immage,,
uMq91y4S1Y0,Jeff Newmann - electric motion,Sonne Immage,,
gjGveXWySD8,Vidulesku - echoes,Sonne Immage,,
gDJw5RU3j60,Job Fulup - tarz an deiz,Sonne Immage,,
tJGafcW6psc,J. L. Bucchi - Sunday morning,Sonne Immage,,
B-Fs6zJu6e8,Andy Clark - today`s girl,Sonne Immage,,
c1U5IkU-MYY,Oscar Rocchi Piano & Fabio Fabor - femme,Sonne Immage,,
9c1bSlDoE2Q,P  Lewis - nature,Sonne Immage,,
2O1aDJ8s1dM,Corviria - Albatros,me me,,
4yv6yvRP5QU,Modern Sound Quartet - Bad Dream (1975),Rare Records,,
E8-utPBni-M,Piernicola Di Muro - Incontro (Best movie soundtrack),cinevoxrecord,,
oXrAMcgs1M0,Piernicola Di Muro - Dal profondo (Best movie soundtrack),cinevoxrecord,,
VFHbT3vNnPc,Spanky Wilson - Love Song [SOUL],Rare Samples & Songs Oleg Tsoy,,
FO4u1STvgbE,Cecil Lyde - Is That The Way To Your Heart,Rare Samples & Songs Oleg Tsoy,,
qs10OgPAJDE,Yvonne Fair - Stay A Little Longer,Rare Samples & Songs Oleg Tsoy,,
urZWfICEdIA,The Spinners -  No One Does It Better,Rare Samples & Songs Oleg Tsoy,,
tFoRZrMmUp0,Saint Tropez - Femmes Fatales,Rare Samples & Songs Oleg Tsoy,,
oiA3y8ZSxeE,The Dells - Nothing Can Stop Me,Rare Samples & Songs Oleg Tsoy,,
v0Q14lK3BMo,Billy Paul - Im Gonna Make It This Time [SOUL],Rare Samples & Songs Oleg Tsoy,,
iYzagkBuzkc,Jesse James - I Need You Baby,Rare Samples & Songs Oleg Tsoy,,
Gwn2T1Z9nlE,The Independents - In The Valley Of My World [SOUL],Rare Samples & Songs Oleg Tsoy,,
XhQl6x7_I6Q,Jimmy Scott - I Want You Part 1,Rare Samples & Songs Oleg Tsoy,,
LKgLckLRj7k,Bettye Lavette - Your Turn to Cry,Rare Samples & Songs Oleg Tsoy,,
IioLuma-G4Q,The Smith Connection - You Aint Livin Unless Youre Lovin [SOUL],Rare Samples & Songs Oleg Tsoy,,
h-Q8Y5YNSS0,Dee Dee Bridgewater - Back Of Your Mind,Rare Samples & Songs Oleg Tsoy,,
eIAcIWF0RNA,T. Mack Brown & The Soul Crusaders - The pontch,soulwombat,,
M-j70y7cZ1k,S.O.U.L. - Message From A Black Man,trademark1874,,
tX8DmHKlF9c,Carol Anderson - You Boy - Mid-Town,raresoulie,,
KqPEEMwEA4o,Don Lee - I Found A Way,thegreatmarkjohnson,,
-e2fhDEb4b8,Sunday - Ain't Got No Problem,thegreatmarkjohnson,,
Uj9pGWvm98I,LIM TAYLOR - You hear me knocking  *** Rare Soul,fazgroove,,
UgNuJcGp--w,Black Soul Express - When I Left You,Rare Samples & Songs Oleg Tsoy,,
_dG10VwJgAc,Centaura - One Of A Kind,Rare Samples & Songs Oleg Tsoy,,
9PmRH8ie2y4,Melba Moore - Dont Go Away,Rare Samples & Songs Oleg Tsoy,,
-yEtcsvOSBQ,Bump And The Soul Stompers - Standing On The Outside,Rare Samples & Songs Oleg Tsoy,,
mVRH-KQpWfg,Brook Benton - Taxi,Rare Samples & Songs Oleg Tsoy,,
nZ7xdJrauo4,Adriano Celentano - You Can Be Happy,Rare Samples & Songs Oleg Tsoy,,
jA1tRpCtuEc,Martha Reeves & The Vandellas - Your Love Makes It All Worthwhile,David,,
NiYo47WcCRU,70's Soul ! Willie Roundtree - Wishing,tibus,,
7sFnp7bKwdE,Jean Carn - My Love Dont Come Easy,Rare Samples & Songs Oleg Tsoy,152,Em
rieqGIbcEBY,Merge - What Makes You Wanna Lie to Me,Rare Samples & Songs Oleg Tsoy,,
iBNnJB8yTn0,Ralfi Pagan - I Could Never Hurt You Girl,Rare Samples & Songs Oleg Tsoy,,
Jp0EATvlYzk,Noel Pointer - Niteroi,Rare Samples & Songs Oleg Tsoy,,
__SOh65o9c8,Margie Joseph - Turn Around And Love You,Rare Samples & Songs Oleg Tsoy,,
3Z5yu3Wqd9w,Gloria Lynne - A Very Gentle Sound,Rare Samples & Songs Oleg Tsoy,,
UtmQlIFMXlU,Sambo - I Am Tired Of Going On,Rare Samples & Songs Oleg Tsoy,,
eHhSzknqt4Y,Smokey Robinson And The Miracles - Theme From Love Story,Rare Samples & Songs Oleg Tsoy,,
0vlzwDChjBY,Big Apple Brass - NY I Love You,Rare Samples & Songs Oleg Tsoy,,
2Ju4rbWLhQ4,MFSB - Thank You Miss Scott,Rare Samples & Songs Oleg Tsoy,,
tE_2RTvIKNw,Masters Of Soul - The Vow,Rare Samples & Songs Oleg Tsoy,,
03R7j9JBUfQ,Black Ivory - Wishful Thinking,Soul Machine,,
GFaNcr3uIvQ,JOB Orquestra - Only Faith And Hope,Rare Samples & Songs Oleg Tsoy,,
NbwNVb51UkM,Phil Hurtt - Im In Love Again,Rare Samples & Songs Oleg Tsoy,,
CCY9aowPuAg,Barbara Mason - All In Love Is Fair,Rare Samples & Songs Oleg Tsoy,,
bGJIVc9dlRM,Merry Clayton - Loving Grows Up Slow,Rare Samples & Songs Oleg Tsoy,,
SqLNGO_urkE,Sweet And Innocent - Express Your Love [SOUL],Rare Samples & Songs Oleg Tsoy,,
IY8H35P66AM,Eric Mercury - Wrap Me In A Map,Rare Samples & Songs Oleg Tsoy,,
iCaYY7wUqq8,The Three Degrees - Distant Lover [SOUL],Rare Samples & Songs Oleg Tsoy,,
59l-JY8Tx-U,Ronnie Dyson - Girl Dont Come [SOUL],Rare Samples & Songs Oleg Tsoy,,
r9bHo7IEGr4,The Whispers - Hey Who Really Cares,Rare Samples & Songs Oleg Tsoy,,
w17YIJS53Qc,Black Ivory - Wishful Thinking,Rare Samples & Songs Oleg Tsoy,,
TTiPHFQHZuY,The Village Soul Choir - The Cat Walk,Rare Samples & Songs Oleg Tsoy,,
Aqoy_8Whr3o,The Emotions - If You Think It,Rare Samples & Songs Oleg Tsoy,,
sgIaMBOIX4o,Dionne Warwick - My First Night Alone Without You [SOUL],Rare Samples & Songs Oleg Tsoy,,
JFSvYo4QV_4,Bobby Lyle - Believe,Rare Samples & Songs Oleg Tsoy,78,G#m
zSQwHazhtjU,Hyla Parker - Quiet Tunes,Rare Samples & Songs Oleg Tsoy,,
PGlN1tP6N4A,Skip Mahoney And The Casuals - Your Funny Moods,Rare Samples & Songs Oleg Tsoy,,
kMvTRZ8mYXk,King Floyd - Handle With Care,Rare Samples & Songs Oleg Tsoy,,
hUVEgybfMsg,The Dells - Waiting For You,Rare Samples & Songs Oleg Tsoy,,
60_r1pPwDNY,Sister Sledge - Give In To Love,Rare Samples & Songs Oleg Tsoy,,
qqybjSiucmk,Roberta Flack - This Time Ill Be Sweeter,Rare Samples & Songs Oleg Tsoy,,
AykCLkOQWIk,Alan Gordon - Running Away Like A Child,Rare Samples & Songs Oleg Tsoy,,
OZ1IMPYNUjc,Harold Melvin And the Blue Notes - Let Me Into Your World,Rare Samples & Songs Oleg Tsoy,,
PU1f6IyZdEM,Lamont Dozier - Let Me Make Love To You [SOUL],Rare Samples & Songs Oleg Tsoy,,
u_oOsGbe07A,Black Ivory - We Made It [SOUL],Rare Samples & Songs Oleg Tsoy,,
qfMLcLQeP84,Hodges James And Smith - Off [SOUL],Rare Samples & Songs Oleg Tsoy,,
kT5y_awmCWE,Zulema - If This World Were Mine,Rare Samples & Songs Oleg Tsoy,,
KvoGnfPfRH4,Johnny And The Expressions - Now That Youre Mine,Rare Samples & Songs Oleg Tsoy,,
tjnSggDVb1g,The Waters - You Are Lost In My Dreams,Rare Samples & Songs Oleg Tsoy,,
DTqnLkWZkLI,The Controllers - Getting Over You,Rare Samples & Songs Oleg Tsoy,,
b5Dq-ReuLcM,Dionne Warwick - Forever My Love [SOUL],Rare Samples & Songs Oleg Tsoy,,
DfYe-YD2JhE,Dionne Warwick - Its Love That Really Counts [SOUL],Rare Samples & Songs Oleg Tsoy,,
Y_yJ8o2Ilqk,Loleatta Holloway - I Cant Help Myself,Rare Samples & Songs Oleg Tsoy,,
NdxsKFP3wz8,Freddie North - Cuss The Wind,Rare Samples & Songs Oleg Tsoy,,
70gn1SvDY8w,Mass Production - With Pleasure [SOUL],Rare Samples & Songs Oleg Tsoy,,
hWkTXd_SLXA,Clarence Reid - The Truth [SOUL],Rare Samples & Songs Oleg Tsoy,,
qhtHG5DTSFw,Little Ben And The Cheers - Settle Down [SOUL],Rare Samples & Songs Oleg Tsoy,,
EIw4mG5KH8U,Andraé Crouch - The Love Medley,Rare Samples & Songs Oleg Tsoy,,
8UdCnh0GsaY,Sybil Chamney - Grateful,Rare Samples & Songs Oleg Tsoy,,
IANpVMRq0RM,Curtis Blandon - Young Dumb [SOUL],Rare Samples & Songs Oleg Tsoy,,
g6v9m82M1GQ,Dionne Warwick - One Less Bell To Answer [SOUL],Rare Samples & Songs Oleg Tsoy,,
y_adNsxvh88,Teddy Pendergrass - Ill Never See Heaven Again,Rare Samples & Songs Oleg Tsoy,,
pmb5PPzeygY,Dionne Warwick - The Look Of Love,Rare Samples & Songs Oleg Tsoy,,
mmUKvr7h0dQ,Lynn Williams - Dont Be Surprise,Rare Samples & Songs Oleg Tsoy,,
2uKldIyTON4,The Four Mints - Do You Really Love Me [SOUL],Rare Samples & Songs Oleg Tsoy,,
JGN2jvkWtqk,Betty Wright - Aint No Sunshine [SOUL],Rare Samples & Songs Oleg Tsoy,,
h4yF7xJISsM,The Players Association - The Closer I Get To You [SOUL-JAZZ],Rare Samples & Songs Oleg Tsoy,,
WXj85-8BeSI,Ewa Kuklińska - Wino Z Win [SOUL],Rare Samples & Songs Oleg Tsoy,,
N2M9cSgDKM4,Jean Wells - Have A Little Mercy,Rare Samples & Songs Oleg Tsoy,,
w4Zr-o5ucfM,The Eight Minutes - Find The One Who Loves You [SOUL],Rare Samples & Songs Oleg Tsoy,,
pf06CYkS6O4,Double Exposure - Theres Something Missing,Rare Samples & Songs Oleg Tsoy,,
2l91GbJYt-k,Lamont Butler - Love One Another,Rare Samples & Songs Oleg Tsoy,,
37i8nRNUav0,The Main Ingredient - Youve Got to Take It,Rare Samples & Songs Oleg Tsoy,,
8FjhwWYZP8E,The Emma Creamer Singers - There Is Nothing As Precious As Jesus,Rare Samples & Songs Oleg Tsoy,,
ofwqicnm9rI,The Halleluiah Chorus - Ive Got To Find A Way,Rare Samples & Songs Oleg Tsoy,,
uHwnEn5Dfcg,The Moments - Ive Got to Keep On Loving You [SOUL],Rare Samples & Songs Oleg Tsoy,,
68tfsCylDTo,Renée Geyer - Its Been A Long Time [SOUL],Rare Samples & Songs Oleg Tsoy,,
wnF0twGmXsQ,The Whispers - What More Can A Girl Ask For,Rare Samples & Songs Oleg Tsoy,,
chOTO-hMoNQ,Willie Harper - I Dont Need You Anymore,Rare Samples & Songs Oleg Tsoy,,
4dAHi8Xhr6U,Barbara Acklin - Please Sunrise Please [SOUL],Rare Samples & Songs Oleg Tsoy,,
