title,channel,genre,era,url,tags
Cameo - Rigor Mortis (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=PdGaF1UDxO0,drum-break-youtube-ingest
The Rhythm Makers - Monterey (Drum Break - Loop),Armando Drum Breaks,funk,1970s,https://www.youtube.com/watch?v=St8g6GKtQsc,drum-break-youtube-ingest
Tommy McGee - To Make You Happy (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=GMqd1URerJM,drum-break-youtube-ingest
D.C. LaRue rare disco funk 1976 Ron Carter Steve Khan Sharon Redd  - Overture (All We Need Is Love),Jointz Of The Day,jazz,1970s,https://www.youtube.com/watch?v=Rz6ojMRvor8,drum-break-youtube-ingest
Patrick Moulou – Ocsid – Antranik (Drum Break),Bronco France,jazz,1970s,https://www.youtube.com/watch?v=z0hw6H3T74k,drum-break-youtube-ingest
Eddie Henderson - The Kumquat Kids (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=U7bxx1DiSHk,drum-break-youtube-ingest
"Bad Child – Sweat – First Fight (Drum Break / Frank Abel, Lafayette Hudson, François Bréant)",Bronco France,funk,1970s,https://www.youtube.com/watch?v=PniHlTgcamM,drum-break-youtube-ingest
The Blackbyrds - Dreaming About You [Drum Break] (1977),Rhythm Relics,funk,1970s,https://www.youtube.com/watch?v=Mu8q-_5luvA,drum-break-youtube-ingest
Drum Break - Rolly Gray and Jamaica Way - Socaring (Rare Raggae),"Plastic Disks, Diamond Tips",funk,1970s,https://www.youtube.com/watch?v=oDKq0DvYkl8,drum-break-youtube-ingest
P. Funk All-Stars - Pumpin' It Up [Special Club Mix] (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=IO89ja6JkxA,drum-break-youtube-ingest
Carleen and The Groovers - The Thing (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=94Vez5MxhzU,drum-break-youtube-ingest
Bodacious DF - Good Folks (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=5D4ukcO6suc,drum-break-youtube-ingest
Billy Cobham - A Funky Kind Of Thing (Drum Break - Loop),Armando Drum Breaks,jazz,1970s,https://www.youtube.com/watch?v=FKyeyznMHW8,drum-break-youtube-ingest
"John Scott - Pentathlon (1980) [Library, Funk, Drum Break]",Waterland Records,funk,1970s,https://www.youtube.com/watch?v=CmQVSvjtN60,drum-break-youtube-ingest
Family Plann – Shake It Up (Drum Break),Bronco 70s,funk,1970s,https://www.youtube.com/watch?v=SGYd4TvZDX4,drum-break-youtube-ingest
Joey D. Vieira - Rhythm & Blues,funkybeatdown,funk,1980s,https://www.youtube.com/watch?v=4yDOb-3jSFg,drum-break-youtube-ingest
Joey D. Vieira - Funk Rock (Drum Break - Loop),Armando Drum Breaks,funk,1980s,https://www.youtube.com/watch?v=23Yya3Ys1bY,drum-break-youtube-ingest
Bonneville – What Can I Do – Give The Good Guys A Break (Drum Break / AOR),Bronco France,funk,1980s,https://www.youtube.com/watch?v=0HKJq6wmtD8,drum-break-youtube-ingest
L.J. Reynolds - Touch Down (Drum Break - Loop),Armando Drum Breaks,jazz,1980s,https://www.youtube.com/watch?v=hnVlS2Y7Y_4,drum-break-youtube-ingest
World Wonders - Funky Washing Machine (Drum Break - Loop),Armando Drum Breaks,funk,1980s,https://www.youtube.com/watch?v=tPxZNf6EKZw,drum-break-youtube-ingest
Skorpio - Rongylábkirály (Drum Break - Loop),Armando Drum Breaks,jazz,1980s,https://www.youtube.com/watch?v=cm4MZxGKAlo,drum-break-youtube-ingest
Johnnie & Michael Hill – Party Night (Drum Break),Bronco 80s,funk,1980s,https://www.youtube.com/watch?v=QZrbT2_7LjQ,drum-break-youtube-ingest
RARE FUNK - Willy Strickland And James Earle - Black Can Be A Closet,discogsmediarite,funk,1980s,https://www.youtube.com/watch?v=dgfQefx9XIg,drum-break-youtube-ingest
Vangie - There's A Light (1981 Rockingchair Records),Crates LA,funk,1980s,https://www.youtube.com/watch?v=86lrbxN2IYU,drum-break-youtube-ingest
Vangie Youngren - There's a light (drum break),aTUFF Record,funk,1980s,https://www.youtube.com/watch?v=2xaaMwp14Ks,drum-break-youtube-ingest
N.C. Band – Dance And Shout (Drum Break),Bronco 80s,funk,1980s,https://www.youtube.com/watch?v=AV7F5OIaxLE,drum-break-youtube-ingest
The Soul Avengers – Lunar Mood – Back To Funk (Drum Break),Bronco France,funk,1980s,https://www.youtube.com/watch?v=7ymun0_jDhQ,drum-break-youtube-ingest
"James Brown- Funky Drummer (Drum Break Instrumental Version) w/ Clyde Stubblefield Breaks, & Grooves",Unknown,funk,1980s,https://www.youtube.com/watch?v=V5DTznu-9v0,drum-break-youtube-ingest
Drum Break 13 (82 BPM),Simon Allen - Topic,funk,1980s,https://www.youtube.com/watch?v=m2cXfGvSgUQ,drum-break-youtube-ingest
Darwin's Theory – Funky Sounds (Drum Break),Bronco 70s,funk,1980s,https://www.youtube.com/watch?v=CvbRAi7STz8,drum-break-youtube-ingest
Fred Wesley - Funk For Your Ass (Drum Break - Loop),Armando Drum Breaks,jazz,1980s,https://www.youtube.com/watch?v=3l7DsVkdtpY,drum-break-youtube-ingest
Whodini - Friends (Drum Break - Loop),Armando Drum Breaks,jazz,1980s,https://www.youtube.com/watch?v=_DBOQi490aM,drum-break-youtube-ingest
